dataset,category,model,run,latency
mvtec_ad,bottle,padim,0,0.19720025234911814
mvtec_ad,bottle,padim,1,0.18360775924590697
mvtec_ad,bottle,padim,0,0.15851775134902402
mvtec_ad,bottle,padim,1,0.15435636474425535
mvtec_ad,bottle,padim,2,0.15924254382949277
mvtec_ad,bottle,padim,0,0.21199753772781557
mvtec_ad,bottle,padim,1,0.1582746936614255
mvtec_ad,bottle,padim,2,0.16526170523769884
mvtec_ad,bottle,padim,3,0.16557251688945723
mvtec_ad,bottle,padim,4,0.16399287028485035
mvtec_ad,bottle,padim,5,0.15988081621836467
mvtec_ad,bottle,padim,6,0.15310003384050117
mvtec_ad,bottle,padim,7,0.1564875309725842
mvtec_ad,bottle,padim,8,0.16024766485375094
mvtec_ad,bottle,padim,9,0.16527678593095527
mvtec_ad,bottle,padim,10,0.16203297764421945
mvtec_ad,bottle,padim,11,0.16295105577951455
mvtec_ad,bottle,padim,12,0.1625469362879374
mvtec_ad,bottle,padim,13,0.16195391746888677
mvtec_ad,bottle,padim,14,0.15560695636703306
mvtec_ad,bottle,padim,15,0.1564063422651176
mvtec_ad,bottle,padim,16,0.1575570795909468
mvtec_ad,bottle,padim,17,0.15655878940260554
mvtec_ad,bottle,padim,18,0.29046497574771746
mvtec_ad,bottle,padim,19,0.15902271328202214
mvtec_ad,cable,padim,0,0.17569102764129638
mvtec_ad,cable,padim,1,0.17363788922627768
mvtec_ad,cable,padim,2,0.17322051525115967
mvtec_ad,cable,padim,3,0.17325194676717123
mvtec_ad,cable,padim,4,0.17367454369862875
mvtec_ad,cable,padim,5,0.1809229596455892
mvtec_ad,cable,padim,6,0.18079448699951173
mvtec_ad,cable,padim,7,0.1757801882425944
mvtec_ad,cable,padim,8,0.1765403938293457
mvtec_ad,cable,padim,9,0.17589999357859293
mvtec_ad,cable,padim,10,0.1765694300333659
mvtec_ad,cable,padim,11,0.21819294770558675
mvtec_ad,cable,padim,12,0.2268083683649699
mvtec_ad,cable,padim,13,0.17564377625783284
mvtec_ad,cable,padim,14,0.17547432740529378
mvtec_ad,cable,padim,15,0.1801258373260498
mvtec_ad,cable,padim,16,0.1751247517267863
mvtec_ad,cable,padim,17,0.174784574508667
mvtec_ad,cable,padim,18,0.22419521649678548
mvtec_ad,cable,padim,19,0.17986276785532634
mvtec_ad,capsule,padim,0,0.171651870915384
mvtec_ad,capsule,padim,1,0.2636889399904193
mvtec_ad,capsule,padim,2,0.17216696522452615
mvtec_ad,capsule,padim,3,0.17327875621391065
mvtec_ad,capsule,padim,4,0.17852090705524792
mvtec_ad,capsule,padim,5,0.17430200360038064
mvtec_ad,capsule,padim,6,0.17396711038820672
mvtec_ad,capsule,padim,7,0.1746272842089335
mvtec_ad,capsule,padim,8,0.17289169087554468
mvtec_ad,capsule,padim,9,0.17452115181720618
mvtec_ad,capsule,padim,10,0.16970035162839023
mvtec_ad,capsule,padim,11,0.17215216159820557
mvtec_ad,capsule,padim,12,0.1740076830892852
mvtec_ad,capsule,padim,13,0.2636411352591081
mvtec_ad,capsule,padim,14,0.17222971265966242
mvtec_ad,capsule,padim,15,0.1750190763762503
mvtec_ad,capsule,padim,16,0.17437015518997656
mvtec_ad,capsule,padim,17,0.17360849091500946
mvtec_ad,capsule,padim,18,0.1728022423657504
mvtec_ad,capsule,padim,19,0.17418050585371075
mvtec_ad,carpet,padim,0,0.177152768159524
mvtec_ad,carpet,padim,1,0.17872536284291846
mvtec_ad,carpet,padim,2,0.175137263077956
mvtec_ad,carpet,padim,3,0.17850338699471238
mvtec_ad,carpet,padim,4,0.18130087241148338
mvtec_ad,carpet,padim,5,0.3251265990428435
mvtec_ad,carpet,padim,6,0.17861062644893289
mvtec_ad,carpet,padim,7,0.17840217117570403
mvtec_ad,carpet,padim,8,0.17967491272168282
mvtec_ad,carpet,padim,9,0.17628906730912688
mvtec_ad,carpet,padim,10,0.18056654930114746
mvtec_ad,carpet,padim,11,0.18001694760770878
mvtec_ad,carpet,padim,12,0.1788511378133399
mvtec_ad,carpet,padim,13,0.1779580197782598
mvtec_ad,carpet,padim,14,0.17757634627513397
mvtec_ad,carpet,padim,15,0.1792786243634346
mvtec_ad,carpet,padim,16,0.17800554862389198
mvtec_ad,carpet,padim,17,0.1775039098201654
mvtec_ad,carpet,padim,18,0.17788719723367283
mvtec_ad,carpet,padim,19,0.23689620718996748
mvtec_ad,grid,padim,0,0.16365416844685873
mvtec_ad,grid,padim,1,0.15945063187525824
mvtec_ad,grid,padim,2,0.16082458007029998
mvtec_ad,grid,padim,3,0.16010420750348997
mvtec_ad,grid,padim,4,0.1613617432423127
mvtec_ad,grid,padim,5,0.16029317256731865
mvtec_ad,grid,padim,6,0.16103854240515295
mvtec_ad,grid,padim,7,0.1549100142258864
mvtec_ad,grid,padim,8,0.1570504231330676
mvtec_ad,grid,padim,9,0.1574646723576081
mvtec_ad,grid,padim,10,0.15437711813510993
mvtec_ad,grid,padim,11,0.15564192869724372
mvtec_ad,grid,padim,12,0.15517198733794382
mvtec_ad,grid,padim,13,0.16088552047044802
mvtec_ad,grid,padim,14,0.15662152339250612
mvtec_ad,grid,padim,15,0.15669676279410338
mvtec_ad,grid,padim,16,0.15745265361590263
mvtec_ad,grid,padim,17,0.1563738064888196
mvtec_ad,grid,padim,18,0.1572401768121964
mvtec_ad,grid,padim,19,0.29554347197214764
mvtec_ad,hazelnut,padim,0,0.17760009765625
mvtec_ad,hazelnut,padim,1,0.17524348389018665
mvtec_ad,hazelnut,padim,2,0.17663266442038797
mvtec_ad,hazelnut,padim,3,0.17605271122672342
mvtec_ad,hazelnut,padim,4,0.17533985051241788
mvtec_ad,hazelnut,padim,5,0.17342999198219994
mvtec_ad,hazelnut,padim,6,0.17201732071963224
mvtec_ad,hazelnut,padim,7,0.17378889213908802
mvtec_ad,hazelnut,padim,8,0.17521111531691116
mvtec_ad,hazelnut,padim,9,0.17438343871723522
mvtec_ad,hazelnut,padim,10,0.1721820441159335
mvtec_ad,hazelnut,padim,11,0.1735516223040494
mvtec_ad,hazelnut,padim,12,0.17286000035025856
mvtec_ad,hazelnut,padim,13,0.17370148138566452
mvtec_ad,hazelnut,padim,14,0.17243186127055776
mvtec_ad,hazelnut,padim,15,0.17112018845298074
mvtec_ad,hazelnut,padim,16,0.17249168265949597
mvtec_ad,hazelnut,padim,17,0.1747249494899403
mvtec_ad,hazelnut,padim,18,0.17296591888774526
mvtec_ad,hazelnut,padim,19,0.17205380959944291
mvtec_ad,leather,padim,0,0.16783743135390744
mvtec_ad,leather,padim,1,0.16895812365316576
mvtec_ad,leather,padim,2,0.17285375825820432
mvtec_ad,leather,padim,3,0.17275491645259242
mvtec_ad,leather,padim,4,0.17043516712803994
mvtec_ad,leather,padim,5,0.17211689103034236
mvtec_ad,leather,padim,6,0.17370870805555774
mvtec_ad,leather,padim,7,0.17114554105266447
mvtec_ad,leather,padim,8,0.1741838974337424
mvtec_ad,leather,padim,9,0.17284439071532218
mvtec_ad,leather,padim,10,0.17069839277575094
mvtec_ad,leather,padim,11,0.17418428774802916
mvtec_ad,leather,padim,12,0.17124538075539372
mvtec_ad,leather,padim,13,0.1712514392791256
mvtec_ad,leather,padim,14,0.17072037150782923
mvtec_ad,leather,padim,15,0.17407337119502406
mvtec_ad,leather,padim,16,0.1704938450167256
mvtec_ad,leather,padim,17,0.17421108676541236
mvtec_ad,leather,padim,18,0.1808436397583254
mvtec_ad,leather,padim,19,0.18094615205641715
mvtec_ad,metal_nut,padim,0,0.1447402041891347
mvtec_ad,metal_nut,padim,1,0.14742322797360627
