,dataset,category,model,image_AUROC,pixel_AUPRO,latency
0,mvtec_ad,bottle,spade,0.9888888597488404,0.9478507041931152,
5,mvtec_ad,cable,spade,0.8131558895111084,0.8490590453147888,
10,mvtec_ad,capsule,spade,0.759473443031311,0.9312775731086732,
15,mvtec_ad,carpet,spade,0.7331461310386658,0.9520582556724548,
20,mvtec_ad,grid,spade,0.7752715349197388,0.8332493901252747,
25,mvtec_ad,hazelnut,spade,0.9392857551574708,0.9472345113754272,
30,mvtec_ad,leather,spade,0.7978940010070801,0.9783772826194764,
35,mvtec_ad,metal_nut,spade,0.796676516532898,0.9333209991455078,
40,mvtec_ad,pill,spade,0.8374248743057251,0.9335286617279052,
45,mvtec_ad,screw,spade,0.4734576642513275,0.9519863724708556,
50,mvtec_ad,tile,spade,0.8910533785820007,0.6900222301483154,
55,mvtec_ad,toothbrush,spade,0.9222221970558168,0.941231906414032,
60,mvtec_ad,transistor,spade,0.8279166221618652,0.9193503856658936,
65,mvtec_ad,wood,spade,0.9166667461395264,0.9053349494934082,
70,mvtec_ad,zipper,spade,0.9096638560295104,0.9361730217933656,
90,visa,candle,spade,0.8519001007080078,0.943231463432312,
96,visa,capsules,spade,0.6308333277702332,0.6663526296615601,
102,visa,cashew,spade,0.767799973487854,0.8231343626976013,
108,visa,chewinggum,spade,0.8388000130653381,0.6617763638496399,
114,visa,fryum,spade,0.8046000003814697,0.8287172913551331,
120,visa,macaroni1,spade,0.698199987411499,0.9071648120880128,
126,visa,macaroni2,spade,0.7731499671936035,0.7501596808433533,
132,visa,pcb1,spade,0.819350004196167,0.8739853501319885,
138,visa,pcb2,spade,0.733199954032898,0.883690595626831,
144,visa,pcb3,spade,0.7416831254959106,0.8520910143852234,
150,visa,pcb4,spade,0.8994058966636658,0.827556312084198,
156,visa,pipe_fryum,spade,0.770799994468689,0.9344801902770996,
0,mvtec_ad,bottle,padim,0.997619092464447,0.9290757179260254,0.1972002523491181
1,mvtec_ad,cable,padim,0.8525112271308899,0.8695063591003418,0.1836077592459069
2,mvtec_ad,capsule,padim,0.914838433265686,0.916849970817566,0.158517751349024
3,mvtec_ad,carpet,padim,0.9911717772483826,0.9622985124588012,0.1543563647442553
4,mvtec_ad,grid,padim,0.7961570620536804,0.8363169431686401,0.1592425438294927
5,mvtec_ad,hazelnut,padim,0.7810714840888977,0.9015710949897766,
6,mvtec_ad,leather,padim,0.9989809393882751,0.976523220539093,
7,mvtec_ad,metal_nut,padim,0.9667644500732422,0.872357189655304,
8,mvtec_ad,pill,padim,0.866066575050354,0.9153242707252502,
9,mvtec_ad,screw,padim,0.8401312232017517,0.9163485765457152,
10,mvtec_ad,tile,padim,0.9437230229377748,0.7953106164932251,
11,mvtec_ad,toothbrush,padim,0.9083333611488342,0.916728377342224,
12,mvtec_ad,transistor,padim,0.9158333539962769,0.8936672806739807,
13,mvtec_ad,wood,padim,0.9578946828842164,0.8624264001846313,
14,mvtec_ad,zipper,padim,0.8521534204483032,0.902612030506134,
15,visa,candle,padim,0.8742000460624695,0.9319021105766296,
16,visa,capsules,padim,0.6929999589920044,0.438099592924118,
17,visa,cashew,padim,0.8686000108718872,0.8036841750144958,
18,visa,chewinggum,padim,0.9838000535964966,0.8338790535926819,
19,visa,fryum,padim,0.8748000264167786,0.5128591060638428,
20,visa,macaroni1,padim,0.8155999779701233,0.8482392430305481,
21,visa,macaroni2,padim,0.63919997215271,0.6950299739837646,
22,visa,pcb1,padim,0.8124999403953552,0.8319887518882751,
23,visa,pcb2,padim,0.829800009727478,0.6937296390533447,
24,visa,pipe_fryum,padim,0.9064000248908995,0.8496916890144348,
50,visa,pcb3,padim,0.7890099287033081,0.6734566688537598,
51,visa,pcb4,padim,0.9016832113265992,0.773811399936676,
25,mvtec_ad,bottle,patchcore,1.0,0.9238905906677246,
26,mvtec_ad,cable,patchcore,0.9771364331245422,0.928101658821106,
27,mvtec_ad,capsule,patchcore,0.983246922492981,0.9188356399536132,
28,mvtec_ad,carpet,patchcore,0.976725459098816,0.9341313242912292,
29,mvtec_ad,grid,patchcore,0.9598997831344604,0.8819334506988525,
30,mvtec_ad,hazelnut,patchcore,0.9975000023841858,0.9465212225914,
31,mvtec_ad,leather,patchcore,0.99762225151062,0.9629920125007628,
32,mvtec_ad,metal_nut,patchcore,0.9956011772155762,0.9347416162490844,
33,mvtec_ad,pill,patchcore,0.9168030619621276,0.9445765018463136,
34,mvtec_ad,screw,patchcore,0.967616319656372,0.9516866207122804,
35,mvtec_ad,tile,patchcore,0.98773455619812,0.8034862875938416,
36,mvtec_ad,toothbrush,patchcore,0.8944444060325623,0.8868411779403687,
37,mvtec_ad,transistor,patchcore,0.9858333468437196,0.9394726753234864,
38,mvtec_ad,wood,patchcore,0.9868422150611876,0.8539913892745972,
39,mvtec_ad,zipper,patchcore,0.9511554837226868,0.9297102689743042,
40,visa,candle,patchcore,0.9633999466896056,0.9440246820449828,
41,visa,capsules,patchcore,0.6596665978431702,0.600131094455719,
42,visa,cashew,patchcore,0.9606000185012816,0.8982020020484924,
43,visa,chewinggum,patchcore,0.9914000630378724,0.8352683186531067,
44,visa,fryum,patchcore,0.8953999876976013,0.7863667011260986,
45,visa,macaroni1,patchcore,0.86680006980896,0.8811320066452026,
46,visa,macaroni2,patchcore,0.7069000005722046,0.8717253804206848,
47,visa,pcb1,patchcore,0.8684999942779541,0.8604592084884644,
48,visa,pcb2,patchcore,0.9184000492095948,0.8311212658882141,
49,visa,pipe_fryum,patchcore,0.9828000068664552,0.9332152009010316,
52,visa,pcb3,patchcore,0.9054455757141112,0.8262811899185181,
53,visa,pcb4,patchcore,0.9826732873916626,0.8926811814308167,
4,mvtec_ad,bottle,lwinnn,1.0,0.9410210251808168,
9,mvtec_ad,cable,lwinnn,0.9642053842544556,0.9224292039871216,
14,mvtec_ad,capsule,lwinnn,0.9912245273590088,0.9404926896095276,
19,mvtec_ad,carpet,lwinnn,0.9819421768188475,0.9460915327072144,
24,mvtec_ad,grid,lwinnn,0.981620728969574,0.9047165513038636,
29,mvtec_ad,hazelnut,lwinnn,0.9967858195304872,0.9507577419281006,
34,mvtec_ad,leather,lwinnn,0.9989809393882751,0.9693375825881958,
39,mvtec_ad,metal_nut,lwinnn,0.9980449676513672,0.9417085647583008,
44,mvtec_ad,pill,lwinnn,0.926895797252655,0.9533351063728333,
49,mvtec_ad,screw,lwinnn,0.9842180013656616,0.966218113899231,
54,mvtec_ad,tile,lwinnn,0.9949495196342468,0.8206751346588135,
59,mvtec_ad,toothbrush,lwinnn,0.9444444179534912,0.9149545431137084,
64,mvtec_ad,transistor,lwinnn,0.9941667318344116,0.950705111026764,
69,mvtec_ad,wood,lwinnn,0.9877192378044128,0.8783000707626343,
74,mvtec_ad,zipper,lwinnn,0.9472163915634156,0.941843032836914,
95,visa,candle,lwinnn,0.933899998664856,0.952895998954773,
101,visa,capsules,lwinnn,0.6696667075157166,0.7047271132469177,
107,visa,cashew,lwinnn,0.9751999974250792,0.8894824981689453,
113,visa,chewinggum,lwinnn,0.9923999309539796,0.7858366966247559,
119,visa,fryum,lwinnn,0.913599967956543,0.8446060419082642,
125,visa,macaroni1,lwinnn,0.9185999631881714,0.9227983355522156,
131,visa,macaroni2,lwinnn,0.7583000063896179,0.8003318905830383,
137,visa,pcb1,lwinnn,0.947100043296814,0.8905647993087769,
143,visa,pcb2,lwinnn,0.9469000101089478,0.8872100710868835,
149,visa,pcb3,lwinnn,0.9619802236557008,0.8754422068595886,
155,visa,pcb4,lwinnn,0.9972277283668518,0.8841233849525452,
161,visa,pipe_fryum,lwinnn,0.9909999370574952,0.938185453414917,
